127.0.0.1 - - [23/Aug/2024:09:54:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2024:09:54:51 +0900] "GET /jQuery/02_jQueryEvent/exam06.html HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [23/Aug/2024:09:54:51 +0900] "GET /jQuery/css/event.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:09:54:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2024:09:56:02 +0900] "GET /jQuery/02_jQueryEvent/exam06.html HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:02:34 +0900] "GET /jQuery/02_jQueryEvent/exam06.html HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:03:16 +0900] "GET /jQuery/02_jQueryEvent/exam06.html HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:04:35 +0900] "GET /jQuery/02_jQueryEvent/exam06.html HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:05:21 +0900] "GET /jQuery/02_jQueryEvent/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:09:44 +0900] "GET /jQuery/02_jQueryEvent/exam07.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:10:18 +0900] "GET /jQuery/02_jQueryEvent/exam07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:10:54 +0900] "GET /jQuery/02_jQueryEvent/exam07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:11:05 +0900] "GET /jQuery/02_jQueryEvent/exam07.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:15:57 +0900] "GET /jQuery/02_jQueryEvent/exam08focus_blur.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:17:21 +0900] "GET /jQuery/02_jQueryEvent/exam08focus_blur.html HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:17:27 +0900] "GET /jQuery/02_jQueryEvent/exam08focus_blur.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:17:27 +0900] "GET /jQuery/02_jQueryEvent/exam08focus_blur.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:22:06 +0900] "GET /jQuery/02_jQueryEvent/ HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:24:39 +0900] "GET /jQuery/02_jQueryEvent/ HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:24:59 +0900] "GET /jQuery/02_jQueryEvent/ HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:25:04 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:46:16 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2024:10:46:24 +0900] "GET /jQuery/02_jQueryEvent/exam09.html HTTP/1.1" 200 1348
